Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_3d,Return_5d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2024-08-12,1,1.8960330388564002,0.11720578172760121,-1.7524721680014799,10.813728477066384,1,-1,56.83430632832667,52.91642002967433,0,0,1,42.33331318208093,0.36568983998659677,0,0.5536858400680557,0.26,-3.9825380320179296,-0.41722776245116805,10.858265724214023,0.009328369025968897,0.023329090475162184,0.046421614417091694,0.009416206878556821,0.03474907644364866,0.012594440199428014,0.007168094024942123,0.019376242084679796,0.36994242710301994,0.012939039211514678,0.31094636036190415,0.7142836382660203
2024-08-13,1,1.219355427823542,0.874196984343482,-1.483503161455375,10.502861605564043,1,-1,57.33880993385416,54.15750093240248,0,0,1,42.465794129414576,0.38668930578297456,0,1.1481620939336865,0.72,-3.4339300362949317,-0.47595259633295756,10.892246370221057,0.0024645107861838156,0.021343337230132153,0.04697553668058063,0.009328369025968897,0.023329090475162184,0.046421614417091694,0.0070375963498614386,0.019380095352863985,0.3631352798695815,0.01598036971286926,0.9242120504107894,-0.46154207307768913
2024-08-14,1,0.5078046997554615,1.2666137375876576,-1.603562620679896,9.625128758879487,1,-1,56.626077192205976,52.541722841632875,0,0,1,42.6730978095386,0.37826540743588183,0,0.7889046375462935,0.52,-3.0503276016499346,-0.5482506976431724,10.945418642249741,-0.002458451904946868,0.009328369025968897,0.023329090475162184,0.0024645107861838156,0.021343337230132153,0.04697553668058063,0.004999118628676314,0.018954844982536922,0.26373830191077774,0.016635840403411168,0.6760970732188931,-0.1111123669799462
2024-08-15,1,-0.25939149566082653,1.1397737466146698,-1.8654719752149558,8.505772725979055,1,-1,55.14951652889307,49.12198611055364,0,0,1,42.4051482982843,0.3578116845824961,0,1.4501477709071882,0.8,-2.8334422144502653,-0.6402946024127948,10.876691042750075,-0.0049292130501695786,-0.0049292130501695786,0.013810371727286608,-0.002458451904946868,0.009328369025968897,0.023329090475162184,0.0065934062021068135,0.018554811530675345,0.35534751679942456,0.01176466808968649,0.4312930481872149,-1.0
2024-08-16,2,-1.236854704723442,-0.043810438543289795,-2.6723915983987143,6.792744185905579,-1,-1,51.8721366443991,41.954218240418506,0,0,1,42.247793836259575,0.2961512555571023,0,1.682682568732359,0.9,-2.851298603809443,-0.7688469229685116,10.83633047483974,-0.01114542820579112,-0.018438771301227064,-0.006840771741714269,-0.0049292130501695786,-0.0049292130501695786,0.013810371727286608,0.007722821438047522,0.018629413744581522,0.41454989104494777,0.0187852226507699,0.12384739944660884,-0.9333394368489537
2024-08-19,1,-0.3221368827141628,0.3430033171409746,-1.6683939943967825,7.086765398004455,-1,-1,53.84153515054797,47.87052452186542,0,0,1,41.17568744647576,0.3697841684765007,0,1.0992988734435578,0.62,-2.632838277148463,-0.8501999760712453,10.561340988077148,0.007514097446249979,-0.008625979229445413,-0.008625979229445413,-0.01114542820579112,-0.018438771301227064,-0.006840771741714269,0.007114445310809548,0.01872127185068654,0.38001933669632865,0.017402132740658893,0.2504781039939394,0.7857123394422858
2024-08-20,1,-0.04965967495485484,0.05593774579951249,-1.3177983507632134,6.6295859230980945,-1,-1,54.0104322848477,48.38205175411426,0,0,1,39.403652230889975,0.3928375436281081,0,1.306997538731378,0.7,-2.4095821972521874,-0.9219848279948525,10.106823545496244,0.0006215369306505902,-0.0030958507210551156,-0.010448563851321202,0.007514097446249979,-0.008625979229445413,-0.008625979229445413,0.0068881825561649115,0.01868259263662628,0.36869521752890855,0.012422360248447192,0.12430789244534321,-0.5
2024-08-21,2,0.21136544780102398,0.018616799738381422,-0.9280276127274593,6.3002034844346415,-1,-1,54.37001777771299,49.53736141181367,0,0,1,37.51849419974258,0.4209552836230158,0,1.039604899512496,0.56,-2.1769992074393114,-0.978341859007882,9.623290712942064,0.0012422052129574812,0.009392621807812418,-0.006777548270357037,0.0006215369306505902,-0.0030958507210551156,-0.010448563851321202,0.007034545526407192,0.01870225290863877,0.3761335899354596,0.022332449831760415,0.18633611280589485,-0.2222236350766551
2024-08-22,1,0.993164714078741,0.7367912430519719,0.07380560205483401,6.897407963194248,1,-1,57.080521255173515,57.80168919277526,0,0,1,37.22760178844203,0.5063304485949119,0,1.199831990330034,0.64,-1.782862096711031,-0.9836642027036474,9.548678383747031,0.009305124990324654,0.011186988748211446,0.007430349612631337,0.0012422052129574812,0.009392621807812418,-0.006777548270357037,0.008028606237011984,0.01789349109398838,0.44868864297304895,0.02704360159197845,0.18609756814657952,-0.045457382836614824
2024-08-23,1,1.4636844099690345,1.5711692343741128,1.2994076527583962,7.558834172705119,1,-1,60.005359158415914,65.3664761065132,0,0,1,35.01846409247696,0.6182838087539133,0,0.6492382416239885,0.28,-1.2771446262851462,-0.9489325457966356,8.982046520538153,0.010539387709669557,0.021209561013499023,0.029522517967943918,0.009305124990324654,0.011186988748211446,0.007430349612631337,0.004616977152013192,0.016832044000448586,0.2742968799208311,0.019018442352856463,0.4339759564211577,0.3548399799175026
