Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_3d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2016-01-15,1,-2.322407988156616,-2.9308484012675775,-3.9794675511989412,-5.365116795135729,-1,-1,37.69832265661931,32.313841040981075,0,0,1,3.8515688319275654,0.0,0,1.510394751933333,0.82,-0.2182967789576577,-1.7877317451593717,0.9879065607808968,-0.024478347168669035,-0.029153334206478254,-0.024275717659055562,0.011774177332221525,0.0056495723591218905,0.021457697273900227,0.015566520095305935,1.3784517761532822,0.04853968322514849,0.04013147237933378,-0.4406795072117907
2016-01-18,2,-2.1677734189383204,-2.348773228268637,-3.934790739174856,-5.494398683081021,-1,-1,37.434733508343086,31.899309791102695,0,0,1,4.273195528315952,0.02030703017104363,0,0.8567459988484075,0.32,-0.2503108388123903,-1.8025948398362177,1.0960515265698114,-0.0012339361054363174,-0.04933434532882297,-0.024478347168669035,-0.029153334206478254,-0.020153349050921032,0.021389699930003767,0.013934187662534197,1.5350518055326408,0.009884710331853517,-0.2056679491305562,-0.8333264556596426
2016-01-19,1,0.12110805833779492,-0.012103795723025751,-1.7354867773968121,-3.500453133012413,-1,-1,44.65850301856966,45.92783545950115,0,0,1,4.32585266800163,0.29130289450655716,0,5.374058308720864,0.98,-0.18541725061999248,-1.6864187411793785,1.109557797919869,0.021416657405285866,-0.004815445430373377,-0.0012339361054363174,-0.04933434532882297,-0.01421028657270984,0.02254229594043371,0.014372457690146704,1.56843710563768,0.01653222768385218,3.0477606580244005,-0.5609754133670323
2016-01-20,2,-1.330826255670812,-2.256551242491132,-3.990147908918096,-5.921094489653797,-1,-1,38.811722550099965,35.570724621270074,0,0,1,4.709232815495881,0.06034543293148561,0,0.9569443087514672,0.66,-0.214031539663177,-1.691828285383051,1.2078927309069492,-0.025403137427509992,-0.005758876034034355,0.021416657405285866,-0.004815445430373377,-0.009584662883761252,0.020684331225471555,0.015346230628915828,1.3478444137609609,0.019859325537571755,-1.2096658309545776,-0.7916676696641869
2016-01-21,2,-0.45972820461715225,-1.722387983576875,-3.3922241889442395,-5.56412136816961,-1,-1,39.88797192486172,37.653654544606155,0,0,1,4.872872914337378,0.13982709569707422,0,0.926271632021084,0.62,-0.205874824148795,-1.653245502218531,1.2498655306430606,0.0033099129388605153,-0.0012356130355727357,-0.025403137427509992,-0.005758876034034355,-0.053641364895341215,0.019851863407647597,0.015104142185483218,1.314332397289498,0.01979381002611837,-0.12411469908054451,0.12499871043175115
2016-01-22,1,2.6894892263018946,1.9665012877080728,0.450436036402643,-1.8905513853171838,1,-1,50.926410379958895,56.939777059873,0,0,1,4.821887902807504,0.5483032832715454,0,0.7764723729899201,0.5,-0.060190699525300206,-1.434961124729778,1.2367881511154453,0.03917526229540225,0.016129153828007947,0.0033099129388605153,-0.0012356130355727357,-0.02688595848225872,0.02435897908990864,0.017696845096495547,1.3764588522466286,0.026984082588418907,1.1546426636176363,0.970589306217361
2016-01-25,1,2.5682402321872884,2.456533162843091,1.247652878140515,-1.135007537104335,1,0,52.887808589870374,59.980350616262335,0,0,1,4.821887902807504,0.6337942027877828,0,0.9264921185659769,0.66,0.06553895890407957,-1.2219007386785643,1.2367881511154453,0.00793641992204952,0.05088947114442921,0.03917526229540225,0.016129153828007947,0.036610552315830436,0.02388196015211401,0.017776455685660573,1.343460168574462,0.011811029506615748,-0.03968578838195792,0.6666574964098504
2016-01-26,1,1.8496161710489376,2.0547938259516596,1.0250052080766163,-1.3997909518486022,1,-1,52.10287700298442,58.29939010413309,0,0,1,4.744293965265996,0.6116535883424828,0,1.046260380279537,0.84,0.13650622781131133,-1.0607085768378945,1.2168857260727874,-0.002755871546744726,0.04453603142660367,0.00793641992204952,0.05088947114442921,0.046128384539241285,0.02325098455547589,0.017682154531368868,1.3149406942591577,0.02605604588394591,-1.5748023424033581,0.45454590926938754
2016-01-27,1,0.7492417353702523,1.9601517326855726,0.9423400035935413,-1.5630010625517772,1,-1,51.51475274323947,56.96890585732552,0,0,1,4.52678022288012,0.6074567785400862,0,1.2645825738956673,0.92,0.17174881248150303,-0.9353044371719834,1.1610946283305545,-0.001973940420843312,0.0031745532803142407,-0.002755871546744726,0.04453603142660367,0.021371035538243044,0.017339167506902002,0.017521133366438908,0.9896144926397595,0.010284810384867638,-0.03947802108780528,0.1538529908452606
2016-01-28,1,-0.007901280832581521,1.8846685747526022,1.1090047085943104,-1.4597951211427602,1,-1,51.74938032899895,57.42238565352171,0,0,1,4.368482089451604,0.630931888516937,0,1.5159672852787598,0.94,0.1915687551594314,-0.8249760713295465,1.120492013812268,0.000791181753344361,-0.00393692812495805,-0.001973940420843312,0.0031745532803142407,0.045924678308408184,0.01758566668179194,0.017498830217622087,1.004962415378052,0.055335951359542716,-0.3955669221368363,-0.7285722370518481
