Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_5d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2016-02-19,0,1.4022594792653253,4.1879421805779975,4.929746513172221,1.53507305284739,1,1,55.84644587026124,64.63957123136598,0,0,1,12.065016687151996,0.9617559288577844,0,0.873044687113419,0.5,1.4154152430908777,2.2563383251909848,3.0946114846410193,-0.003086318593026771,0.07368415598949274,0.01993688598996668,0.0269413354620327,0.11595852725976363,0.02287283477692303,0.024991861779740346,0.9152113187287589,0.022187778171660275,0.05144821339638837,-0.5348857217832208
2016-02-22,1,1.0100941900029397,3.6989429970882686,4.6414330295632915,1.778491791510672,1,1,56.03319171764917,64.95620861352674,0,0,1,12.7263383437394,0.9137207662917659,0,0.5325132126230958,0.14,1.4050026299055172,2.3251708841363916,3.2642369104969657,0.0010319363685349359,0.02482833474742341,-0.003086318593026771,0.033599820500550104,0.07368415598949274,0.012725501146895022,0.024984240437379217,0.5093411256103768,0.020103061622818223,1.0319898549786675,-0.7435909597552552
2016-02-23,2,-0.788291300218409,1.7715653520899926,2.924170223819724,0.48852723305773027,1,1,52.7871717620074,56.92716475259603,0,0,1,12.939146457460993,0.7570131372515743,0,0.42090783895987055,0.04,1.2321171773126192,2.2394671101865677,3.3188210399535696,-0.013917390336342428,0.020266573175153235,0.0010319363685349359,0.017838297400207148,0.02482833474742341,0.014063020336491653,0.02524668296243766,0.5570244755485224,0.025091515037648802,-0.7731766004282394,-0.7083355813326115
2016-02-24,2,-2.445354271665447,-0.43012763201665916,0.676559266967185,-1.3676875912952664,-1,1,48.5263777649547,47.32254455968612,0,0,1,12.53304237485159,0.5615152780926641,0,0.6507920568896353,0.24,0.9206981456882337,2.0612343971628437,3.214657540590913,-0.01986399800601324,-0.01626430689334568,-0.013917390336342428,-0.01594632148063757,0.020266573175153235,0.015376824627524046,0.025592714442682372,0.6008282029622959,0.036799964957676075,0.15682706109577038,-0.7391318334870371
2016-02-25,2,2.138241364100064,3.2691198935872428,5.409725273713766,3.5396890304654858,1,1,57.555856261330945,64.4487292868221,0,0,1,13.73516721227847,0.9499313576252505,0,0.9077906797126383,0.4,1.0482043172252808,2.078462354595141,3.5229960555168756,0.04959962418965236,0.012345595075231586,-0.01986399800601324,-0.03250757191915765,-0.01626430689334568,0.02748225069080103,0.026242497391162214,1.0472421995955437,0.04115855936723817,1.1199682453943463,1.0
2016-02-26,1,4.1152210795015,5.001031197070216,7.935143819453952,6.394153234989294,1,1,61.89097134998745,71.05883947715472,0,0,1,16.07191028750401,1.0,0,0.7801764192230962,0.26,1.2972722389790732,2.157681026333903,4.1223580079084545,0.02845541023948228,0.0443755800580663,0.04959962418965236,0.014432858759595435,0.012345595075231586,0.029362608001311193,0.026706894550031546,1.0994392457836888,0.02420942489146896,1.1179000317372496,0.5102059306517681
2016-02-29,1,2.9396780181373607,3.9690744675073226,7.062289586913965,5.942663803104688,1,1,61.05158680321664,69.18299766824443,0,0,1,17.625037107646847,0.9618974200030705,0,0.5097552313867681,0.06,1.3605152506437752,2.1706126751729458,4.520726631785803,-0.0034584050677112232,0.03969081149898224,0.02845541023948228,0.058023893425996675,0.0443755800580663,0.029735874999453328,0.026568102356069455,1.1192321755211923,0.02528510026301448,-0.6916881528757118,0.6862767855847316
2016-03-01,1,2.8211655926358428,4.313612749877955,7.730071848561043,7.1109987009953635,1,1,62.90901949744239,72.12636776678377,0,0,1,19.20262777344695,0.9666482303566644,0,0.6302778397630793,0.16,1.4219197808303903,2.1897145783386764,4.925370099676425,0.011898900854341754,0.06691060066765186,-0.0034584050677112232,0.07573317997320261,0.03969081149898224,0.02706475428793354,0.02645762080500425,1.0229473952856132,0.02449782104233972,-0.09915409340261903,0.880000887895759
2016-03-02,1,0.3375997748633127,2.6878651552034056,6.055824039471603,6.04358177231282,1,1,60.32709162075624,65.9978586744613,0,0,1,19.5586718666664,0.8610158877538812,0,0.6749616101956611,0.18,1.3038984257455786,2.1376128607906892,5.016693482684162,-0.009799263581380169,0.07786639846377397,0.011898900854341754,0.03709376160251199,0.06691060066765186,0.024201960676836907,0.026230029672110706,0.9226814067454083,0.031172672975705435,-1.1819640845358094e-05,-0.14285630395209425
2016-03-03,1,0.12830870152322144,2.651019108439765,5.9059944735770245,6.485708127352269,1,1,61.01631938922413,67.29470836049845,0,0,1,20.047777088665327,0.8453416778665828,0,0.5245796498557813,0.04,1.1859684505898875,2.0782559145030643,5.142146325099838,0.00395853279416869,0.030996146540439806,-0.009799263581380169,-0.0014822264050934342,0.07786639846377397,0.014849794155535976,0.026178300790112064,0.5672558457707448,0.020206962575724893,0.24741283328361838,-0.07317491326297632
