Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_3d,Return_5d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2016-01-13,0,-0.8511856755640691,-4.022203646626981,-5.2282491779773395,-5.1413518236838325,-1,-1,34.23430721569456,24.6653435996798,0,0,1,2.8235294344872557,0.04823099738335348,0,1.1853487016401485,0.64,-0.22108372407961813,-2.525159405315591,0.7242200190647896,-0.007886249063659867,-0.010072267905700594,-0.05668846969479213,0.005072776393395095,-0.013690035265147116,-0.06489679602226406,0.015047988406800234,0.014418330284388308,1.0436706685165686,0.027980894735099248,1.5142131427934298,-0.7272705598290412
2016-01-14,1,0.4928226683215981,-2.1230795179863096,-3.933559085024806,-4.027755882091196,-1,-1,38.73870353652025,34.758438939525504,0,0,1,2.956684220384794,0.17612057789819865,0,1.3897388971429883,0.76,-0.1944604487329531,-2.443017449610754,0.758373501016642,0.011446573938562077,0.008560433545041768,-0.010267486089562405,-0.007886249063659867,-0.010072267905700594,-0.05668846969479213,0.009790425191042328,0.014572188826795316,0.6718568711544357,0.0251493005498812,-0.31797858796101885,0.7999999999999952
2016-01-15,2,-2.635433392967939,-4.893668251345241,-7.169405237034004,-7.61266272858135,-1,-1,30.991748513387037,22.722217985686314,0,0,1,3.3277040610156945,0.0,0,1.6017446726626752,0.86,-0.22361218482337986,-2.613400479149285,0.8535380821869886,-0.038352673788025315,-0.03501570530832954,-0.037141947232180006,0.011446573938562077,0.008560433545041768,-0.010267486089562405,0.01916437707144179,0.016015718802328806,1.1965979990017772,0.01699903416704236,-4.4954402826255455,0.30769174338847205
2016-01-19,2,-1.4516988138693019,-3.403761739702978,-6.109589725001407,-6.84432389555574,-1,-1,33.684189341412875,28.19127373205204,0,0,1,3.5817314998772574,0.08833777511029194,0,1.3351675201865234,0.74,-0.21765210624372386,-2.5868679966485955,0.9186947454638882,0.007518622273996911,-0.020032081819032155,-0.022828398565652552,-0.038352673788025315,-0.03501570530832954,-0.037141947232180006,0.02029674154137476,0.01613037130325132,1.2582935110293243,0.016547703891362463,1.5364314718427914,0.019608283125199355
2016-01-20,2,-1.022907441401864,-2.605011564827454,-5.971155008416046,-6.896950486051606,-1,-1,33.37930468770962,27.69419892784788,0,0,1,3.8166024038435893,0.12359233572391128,0,1.5411890134321726,0.84,-0.2026380126351779,-2.5052963242627,0.9789378612149214,-0.001622234511877596,-0.032694157444453475,-0.029337553605551014,0.007518622273996911,-0.020032081819032155,-0.022828398565652552,0.01972505118788183,0.0158429745540227,1.2450345811401577,0.03542411882911982,-1.1356211364112103,0.4862408438529142
2016-01-21,2,-0.7951914897178367,-2.0365218958515996,-5.892097444716262,-7.060273099284579,-1,-1,32.86668488048289,26.811681625541112,0,0,1,4.028130651900746,0.14929028246036147,0,1.5028555664469474,0.86,-0.18368196949202603,-2.403051309028514,1.0331937120552057,-0.002599944454927283,0.0032689477694318736,-0.024165548521400293,-0.001622234511877596,-0.032694157444453475,-0.029337553605551014,0.019725551336351326,0.015749733055713352,1.2524371852255434,0.022157001824504197,-0.2599944454927298,0.44117919302133357
2016-01-22,2,1.976026255245738,0.6973245629518421,-3.2099436526435223,-4.662690671377707,-1,-1,42.29159085118268,46.46560482643324,0,0,1,4.06790295433445,0.31131323888502704,0,1.7651729408324939,0.92,-0.12201047404720228,-2.134452525313111,1.0433950923825972,0.025741261412596916,0.021414724522323736,-0.010374164112469608,-0.002599944454927283,0.0032689477694318736,-0.024165548521400293,0.023356516397641424,0.01685756147690888,1.3855216503071734,0.012071190395202764,2.997720364679529,-0.1052652712944967
2016-01-25,2,1.5710630095435063,0.9923238004852915,-2.633968224554928,-4.440842252496551,1,-1,43.05451606473458,47.911689136334104,0,0,1,3.9925916013932863,0.34283413727385353,0,0.923840223169178,0.46,-0.07030225059788037,-1.9002803881979018,1.0240781379366268,0.0022237761258052657,0.025349479513665285,0.031382831481226336,0.025741261412596916,0.021414724522323736,-0.010374164112469608,0.011597658376982165,0.015895924634146495,0.7295994818740459,0.013946074083961913,1.238901295152469,-0.9090972143953027
2016-01-26,2,1.7849055318593061,1.7653712648955249,-1.4494681523662558,-3.621913765483395,1,-1,46.018656725721144,53.556623097077726,0,0,1,3.831928200315012,0.4102068693270217,0,1.0711817553559089,0.6,-0.018005863793860266,-1.655422520951956,0.9828688450669564,0.008557638456220928,0.036819723341077415,0.032446457927711725,0.0022237761258052657,0.025349479513665285,0.031382831481226336,0.01163526782725863,0.016015955852138653,0.7264797639726849,0.020741667308044186,0.5388054875230627,0.4848481345548248
2016-01-27,2,0.470995680946131,1.0078225874066609,-1.8406994830977987,-4.420819377978865,1,-1,43.74789633381338,47.943725824143925,0,0,1,3.6558340160749765,0.38094432055160155,0,1.2104982871732504,0.78,0.0075609271639164866,-1.504230632030192,0.9377016398273637,-0.00785675378266193,0.0028588346354945227,0.025999191611783434,0.008557638456220928,0.036819723341077415,0.032446457927711725,0.012974900261666623,0.01603730010039299,0.8090451747142074,0.024707022305527026,0.7856633227284529,-0.615385932093565
