Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_3d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2016-01-15,2,-0.6784786720429808,-4.873645613839478,-6.717408939071189,-3.5999134508515773,-1,-1,40.63533795076279,32.965724195488605,0,0,1,9.931302929644914,0.1275679005802638,0,1.2634228467603474,0.64,-0.799287158234634,-1.3323197483656992,2.5473254534538863,-0.016791045048589526,0.00764820044125436,-0.005565983150864984,0.015151548846243257,-0.04285709892471801,0.020033930838162108,0.02865698615435191,0.6990941311921496,0.05882357199126252,2.4253744699177333,-0.4193542829789567
2016-01-18,2,-1.5495068615268215,-4.368570827988638,-7.410694110421459,-4.794967828024562,-1,-1,39.20373599428968,30.433037420953,0,0,1,10.608098965897739,0.11687563394047752,0,1.2323323995452178,0.64,-0.7758273189687714,-1.4445021550199306,2.720919973946998,-0.011385149916183668,-0.03339524536509364,-0.016791045048589526,0.00764820044125436,-0.020446104902943185,0.01894922302814126,0.026126492107818887,0.7252876869172313,0.0518234326682483,-1.1385149916183652,0.5555539857217335
2016-01-19,2,2.583296727393033,1.55670554371598,-2.4997801106757573,-0.08387488240738131,1,-1,48.06990456594464,50.4278448083626,0,0,1,10.681185394949253,0.3717968074195403,0,1.1339609337865753,0.56,-0.551144811329475,-1.3586860431410426,2.739666247456514,0.051823339652043554,0.022388035724117517,-0.011385149916183668,-0.03339524536509364,-0.013257494047859919,0.029959519499710856,0.028887330556476857,1.037116234784581,0.03832114057222272,1.5355055605886534,0.8095229445124588
2016-01-20,2,1.1971549805850161,0.9140065635997572,-3.5392720562698314,-1.5719409893299483,1,-1,46.18920718883635,46.39452771869519,0,0,1,10.824508949538,0.3212714225635973,0,0.8773497312817825,0.38,-0.4223377526733568,-1.3244606533248453,2.7764279635444984,-0.012773715198704072,0.026565448829842575,0.051823339652043554,0.022388035724117517,0.04780114050221229,0.02866065916991707,0.02894339590039912,0.9902313905577973,0.04621072219060944,-3.284668077213434,0.11999816894530979
2016-01-21,2,-0.03742825207615924,0.09373228690471735,-4.326781067089371,-3.011357964810082,-1,-1,44.32178411887865,42.43487732415731,0,0,1,10.767491922178394,0.2814036886742082,0,0.6039822613768266,0.08,-0.35941276682349865,-1.32654397202641,2.7618034046016997,-0.012938849531650032,0.024952106340639046,-0.012773715198704072,0.026565448829842575,0.003710437587211235,0.029270069184741496,0.02723480935572458,1.0747300927439434,0.022471923757491,-0.36967041921035215,-0.6666656070292074
2016-01-22,2,4.573950562642838,5.704690689822092,1.7587883353507034,2.706220494186442,1,-1,53.80401960017453,60.82444977058784,0,0,1,10.512027849210284,0.5908614608125956,0,0.8128644238027952,0.28,-0.09146655906469248,-1.1299683401761211,2.696278252451503,0.061797549805199026,0.03467150247891326,-0.012938849531650032,0.024952106340639046,-0.0037312054136762196,0.0380579811070866,0.031008146477356877,1.2273542739769285,0.04585535166025111,2.99623360403358,0.9230780516862411
2016-01-25,1,3.835027184385318,6.099820393924881,3.1261300661997984,3.643789476919368,1,-1,55.53395034948867,63.6946958180399,0,0,1,10.309689532384553,0.6644925350002577,0,0.9475821755506664,0.46,0.1294293334918048,-0.9363942339885388,2.644379569236365,0.012345810253853617,0.06099824999535164,0.061797549805199026,0.03467150247891326,0.07590127176111316,0.03527540941106917,0.031155706574924204,1.1322294786105325,0.04181187216165595,1.5873093655148596,0.0833351876988837
2016-01-26,1,3.2939450794839753,5.6002884654382825,3.4977556557240184,3.8068476165695357,1,1,56.28940261560759,64.97763866528877,0,0,1,10.453962660496813,0.6818004399875274,0,0.4444122129868262,0.02,0.28407994730240343,-0.7714073457114135,2.6813848457940628,0.005226389602398296,0.08052417999758865,0.012345810253853617,0.06099824999535164,0.1017274772089587,0.0306326389218288,0.02926726804482955,1.0466518048390396,0.03466204460233893,-0.6968744372374647,0.29999923706054576
2016-01-27,1,4.912285732464623,8.274496141059387,7.082111188667257,7.099370685720223,1,1,61.252104899110066,72.8213113457782,0,0,1,10.867390071918422,0.8547017392321654,0,1.256059276973235,0.64,0.50041346989516,-0.5262290161325011,2.7874267393633554,0.036395261466382944,0.05467387851365957,0.005226389602398296,0.08052417999758865,0.05291971806490858,0.029051920434432648,0.02930506554616601,0.9913617285266069,0.04180602060025851,1.3612469383568266e-05,0.6799987792968742
2016-01-28,1,3.6960905587153494,8.34971336871282,8.25293891579231,8.059904984966886,1,1,62.97657879563204,75.28169806096952,0,0,1,11.480242019788278,0.8922220608414492,0,1.7720428708653408,0.84,0.66206799157708,-0.2932213796799145,2.9446199472502794,0.01337775808716124,0.05574897401240553,0.036395261466382944,0.05467387851365957,0.10536056758925416,0.023273804166743742,0.029409045495441287,0.7913825074789125,0.028052818576644406,-1.5369067587186395e-05,0.2941152711238675
2016-01-29,0,2.3302863600101804,6.840612047018977,8.098458171702339,7.599422784770406,1,1,62.97657879563204,75.28169806096952,0,0,1,11.873837221213805,0.8726540786687451,0,0.4386601743826444,0.06,0.7297091230579706,-0.11899107824284973,3.0455749862870762,0.0,0.05025990655696044,0.01337775808716124,0.05574897401240553,0.13483122431680372,0.013930523431250551,0.029160259604974925,0.4777228879290881,0.04785481186302895,0.0,0.5862055357805223
2016-02-01,0,1.1029390363015719,5.10770923402687,7.997139385434858,6.954701805388639,1,-1,62.57286664919292,74.13979892047061,0,0,1,11.622340173211498,0.8756866128108987,0,0.4257348424579521,0.04,0.7269956902888154,0.00019150942356505868,2.981067354571155,-0.0016501364532186535,0.011705546507660536,0.0,0.05025990655696044,0.06878305052126343,0.015527303272408276,0.027813127647609775,0.5582724628865201,0.02148765374806303,-0.9900961771787167,0.38461448173057233
2016-02-02,0,-1.2961086692422659,2.378491326862315,6.090374352178371,4.629042629999267,1,-1,58.15641075781634,62.05916035800952,0,0,1,11.476467422235487,0.7895928013017556,0,0.8705209936249725,0.4,0.6164718979196653,0.014754477791490596,2.9436517834060285,-0.018181761721705936,-0.01980189578712399,-0.0016501364532186535,0.011705546507660536,0.0540068441449395,0.020356723265190974,0.02770139597148131,0.7348627226638071,0.030303016680501855,0.8264494890343579,-1.0
