Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_3d,Return_5d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2016-07-19,1,-4.194049795053313,-4.2294064745201885,-3.054075167796215,-0.791372519467505,-1,1,43.739036261887115,31.572093626650016,0,0,1,4.2785027646163485,0.18709516755591613,0,2.2798538385312543,0.98,-0.11328499053863661,-0.11349495218803904,1.0974128039582147,-0.05430033074210561,-0.047706475817398175,-0.045955918560857345,0.003290795218731324,0.0,-0.0010919420830595161,0.02591163185028792,0.02220349757637028,1.167006763739059,0.05780350195141431,-0.5466502283070875,-0.8399989028211173
2016-07-20,1,-2.8275115410203764,-3.6434216423669876,-2.671394146009799,-0.4608160983841557,-1,-1,44.83403957743231,34.12159105498078,0,0,1,4.295798672515559,0.22743012575367846,0,1.8783273571559056,0.94,-0.21254400696561115,-0.5423164763580332,1.1018491107292756,0.003853603635546987,-0.047531882293472494,-0.05065597905851782,-0.05430033074210561,-0.047706475817398175,-0.045955918560857345,0.025136485089439567,0.021445997528564045,1.1720828120007074,0.027639146623660137,0.5780442422146075,0.527776262575099
2016-07-21,1,-2.8595132291349676,-4.289324339018658,-3.750909124177309,-1.6432229826404892,-1,-1,42.1816667552778,30.18534577352071,0,0,1,4.39732066505384,0.12628066336805766,0,1.0368873970581345,0.82,-0.3002608228669684,-0.9914512134925706,1.127888952380484,-0.011516341725481327,-0.06158894921872249,-0.05504591390873914,0.003853603635546987,-0.047531882293472494,-0.05065597905851782,0.02507607681408686,0.02158158124236742,1.16192027509362,0.022912652864622733,0.42226369344880277,-0.49152391941066587
2016-07-22,0,-1.3966319902421034,-3.488463020443705,-3.315127426956227,-1.3409102904422816,-1,-1,43.26601322811866,32.89472451513029,0,0,1,4.561891268955733,0.18194236934537,0,0.6991474687249289,0.24,-0.3347018050482869,-1.2892211801772582,1.1701004216287123,0.0034950905809769672,-0.004238963999101619,-0.055210205740707896,-0.011516341725481327,-0.06158894921872249,-0.05504591390873914,0.02505066362536226,0.021274832739542875,1.177478757743715,0.020510885293593677,-0.11651378536849266,0.9245291008278156
2016-07-25,0,0.5013458938111164,-2.1514714174599034,-2.6685879410827136,-0.5465003163708407,-1,1,45.93525644336942,39.58163762960756,0,0,1,3.9898868311676097,0.20673592156078277,0,0.8715737772761232,0.44,-0.3195957946831558,-1.415863171217435,1.0233843790119004,0.008513928469659149,0.0003837916179625367,-0.0502916287807178,0.0034950905809769672,-0.004238963999101619,-0.055210205740707896,0.025892197302774103,0.01802780928924208,1.4362364770646325,0.01496541364261494,0.19349625713243257,0.07692750342870713
2016-07-26,0,0.16964290493635287,-2.002949321894261,-2.980065444156571,-0.8926579486731026,1,1,45.10422274343344,37.976179504652876,0,0,1,3.9584737288224403,0.16986411672486074,0,0.6098276121398867,0.06,-0.3048511946551994,-1.5212308306842262,1.0153270882674073,-0.0030698701151040675,0.008931948408062995,0.0011559913258460952,0.008513928469659149,0.0003837916179625367,-0.0502916287807178,0.00776655138185417,0.01654237506579026,0.4694943350616834,0.010777505487301296,-0.19186899529154727,-0.7142876226480626
2016-07-27,0,-0.3322419079453039,-2.0761579438568174,-3.529785176921324,-1.5860869971198344,-1,-1,43.210006136037485,34.32182614903557,0,0,1,4.181090852598643,0.13025561453703985,0,0.7127886144974176,0.14,-0.30086257858486054,-1.6410442458136387,1.072427175716867,-0.006928566945512915,-0.001548183678732884,-0.009597204795213421,-0.0030698701151040675,0.008931948408062995,0.0011559913258460952,0.008010711761544066,0.015789756147288402,0.5073360023308375,0.016666676331743725,0.46188255219852936,-0.9069775533548269
2016-07-28,1,-0.8040832997794315,-2.016196941971564,-3.8303063997443507,-2.141007440908824,-1,-1,41.74174540652518,31.56571255788255,0,0,1,4.448081154590469,0.12373333420526082,0,1.0858330921956374,0.7,-0.29895779901444125,-1.7484931468259544,1.1409087432319396,-0.005426232357409022,-0.015349261189597896,-0.003495271505015718,-0.006928566945512915,-0.001548183678732884,-0.009597204795213421,0.006504660688842827,0.015290224490427771,0.4254130273178774,0.014029649326548526,-0.03875131692939828,-0.33332987002193015
2016-07-29,1,-1.318332267898276,-2.107851732179319,-4.263922218895854,-2.9159535022185517,-1,-1,39.56973094571876,27.67635018199597,0,0,1,4.63217365451051,0.0992688047914936,0,1.2604347037465424,0.84,-0.3050933619155922,-1.8638864137238036,1.1881274731567386,-0.008183846274303352,-0.02040024746483038,-0.01509285270827121,-0.005426232357409022,-0.015349261189597896,-0.003495271505015718,0.006722465046060004,0.01446231602987591,0.4648263135844145,0.022003896760679913,1.0454114827532098e-05,-0.07142809433797936
2016-08-01,1,-1.005528292099331,-1.5274854278797116,-4.136474606532145,-3.09781872775469,-1,-1,39.04872344468879,26.760418979846065,0,0,1,4.84201262228666,0.12931815894117693,0,0.8571136886870943,0.38,-0.2985301819613911,-1.9249417391191623,1.2419500327472965,-0.0019646565022579665,-0.015503675798416827,-0.025326160291841426,-0.008183846274303352,-0.02040024746483038,-0.01509285270827121,0.0025937871844632313,0.014390894434896554,0.18023808014139436,0.01692914275759565,0.314335665784883,-0.16278928162907935
