Date,Target,Price_vs_SMA5,Price_vs_SMA10,Price_vs_SMA20,Price_vs_SMA50,SMA5_trend,SMA20_trend,RSI_14,RSI_7,RSI_oversold,RSI_overbought,RSI_neutral,BB_width,BB_position,BB_squeeze,Volume_ratio,Volume_rank,MACD_histogram,MACD_normalized,Rolling_Std_20,Return_1d,Return_5d,Return_1d_lag1,Return_3d_lag1,Return_5d_lag1,Volatility_5d,Volatility_20d,Volatility_ratio,Daily_range,Gap,Trend_strength
2023-11-14,1,1.931202991353741,2.8506408816036677,4.801680288283581,3.6797366970788987,1,1,67.79068742640243,79.59548893232801,0,0,1,406.77699923752334,1.0,0,1.1777374091706339,0.96,28.209965056704753,2.260420193682572,104.3360988359645,0.019075017703661823,0.02679537080840011,-0.0008358389332403515,0.006564331529658185,0.010437478967518565,0.011525929260376586,0.01080747941420509,1.0664770959662604,0.011054942472158184,1.0749149903252448,0.4780763373778061
2023-11-15,2,1.5409890888805393,2.3940781947211414,4.7391949016094115,3.8274039352552482,1,1,68.2828560233703,80.20669265117158,0,0,1,447.1058062128668,0.9556961827569854,0,1.0802953337887609,0.9,29.605076797346207,2.469319436652095,114.6802195664953,0.0015970120755575135,0.027402722368805588,0.019075017703661823,0.0341242583007586,0.02679537080840011,0.011472978068522748,0.010228598601187765,1.1216568873071706,0.005742960939277359,0.21352868202842257,-0.4145503294877363
2023-11-16,1,0.929499606399172,2.073887783482021,4.583829916384872,3.923637456933067,1,1,68.6677984425649,80.70999240278091,0,0,1,482.0846953635282,0.9098714415201198,0,0.9852685144489787,0.76,29.169975014933602,2.5474976783757772,123.65211532863654,0.0011904273935798848,0.03700878307580724,0.0015970120755575135,0.019849349930085136,0.027402722368805588,0.009271636385478862,0.009921586809767399,0.9344912828209408,0.005359110205747375,-0.12880211860942292,0.6895715440582053
2023-11-17,2,0.6138889351433294,1.8457602568694897,4.36701517450939,4.0297599932036166,1,1,69.10322800414332,81.30789677488781,0,0,1,506.1118132793631,0.8731972581153082,0,0.9413783125900166,0.48,27.570822606346987,2.541345996951731,129.81494103979747,0.0012820490603360213,0.022372459914456355,0.0011904273935798848,0.021917565020973306,0.03700878307580724,0.008225430300595398,0.009261906888283085,0.8880925277926409,0.004532536596863526,0.029048370193642807,0.40370388048303174
2023-11-20,1,0.7474191478679607,2.180229357515815,4.73833814614718,4.769633364433365,1,1,71.55994265851452,84.53558871885777,0,0,1,530.987673393638,0.8874334987751522,0,0.9098573937911199,0.3,27.023152700536528,2.550514774552088,136.19546453148376,0.007390278097329839,0.030789650834424087,0.0012820490603360213,0.004074965727886237,0.022372459914456355,0.007707287374155075,0.00922371164652777,0.835595004431481,0.010280645383663368,-0.051391535897328554,0.5837441510695187
2023-11-21,1,0.35487495188064067,1.6088575005056276,4.178129893431049,4.521158017418927,1,1,69.91079696466181,80.09079333459752,0,0,1,549.9151720064842,0.830972833060386,0,0.8798917489661633,0.16,24.38622105602868,2.467382727155015,141.05026549045928,-0.0020209310950652926,0.009451196531755413,0.007390278097329839,0.009882564305092156,0.030789650834424087,0.0034092984743857016,0.009274639216852431,0.36759364916220727,0.0036645383530590487,-0.1893367940028996,0.524942012390264
2023-11-22,1,0.5235087972684977,1.6259517606704597,4.159043449579107,4.902539032373545,1,1,71.33740907077991,82.2717256166617,0,0,1,553.2762247566607,0.8288495785271357,0,0.7705215449934306,0.0,22.28508316622353,2.390687276211371,141.9123573309337,0.00406112922094648,0.011934636449026037,-0.0020209310950652926,0.00664332543835755,0.009451196531755413,0.0035326284152808465,0.00828717086525888,0.42627676835893163,0.0051310775294959535,0.32722512384857116,-0.010254161184554023
2023-11-24,1,0.35724169020886354,1.2080986179594602,3.720815216170633,4.938944979793352,1,1,71.55176279311937,82.5998835708604,0,0,1,530.2489716187647,0.8084567730879909,0,0.42951235873018906,0.0,19.576519162954334,2.291906980484799,136.00599152406713,0.0005968736678840791,0.01133471304066025,0.00406112922094648,0.00943728593846016,0.011934636449026037,0.0035920937639517783,0.0074383193809197876,0.48291738765156345,0.0016472239761958411,-0.017123951908056167,0.7416292828814772
2023-11-27,1,0.0008391275700026073,0.7081028264537201,3.0107120338588733,4.685635146768241,1,1,69.71248590332348,77.14239710667891,0,0,1,480.40124835680217,0.7768440262701689,0,0.8990176275584046,0.16,15.842440002613124,2.155480428380395,123.22032028219064,-0.001954157460090089,0.008066015678366734,0.0005968736678840791,0.0026300773732814697,0.01133471304066025,0.004072248940840962,0.007268345377702092,0.5602717990443673,0.003120627009744636,-0.09825941084192734,-0.4210852073447493
2023-11-28,2,0.06582081484581184,0.4880260507495817,2.6607389110465904,4.739391927255668,1,1,70.12645484505968,77.99161235531203,0,0,1,435.46621122777833,0.7710948819656246,0,0.9512323151195764,0.28,12.478444766751466,2.0249395026717925,111.69472644606017,0.0009801185306033133,0.0016515563027044156,-0.001954157460090089,0.0026971622018991948,0.008066015678366734,0.002507958296451201,0.007128584902572235,0.3518171321135903,0.006066089469647309,-0.1072507632294809,0.04091045646526581
